patinete_id;modelo;dt_fabricacao;capacidade_bateria_wh;status;bairro_base
PAT-0050;Segway-E2;2021-12-19;300;ativo;Itaum
PAT-0051;Bird-One;2023-08-08;275;inativo;Jardim Iririú
PAT-0052;Lime-S;2022-07-07;300;manutencao;Itaum
PAT-0053;Bird-One;2021-02-22;365;ativo;Bucarein
PAT-0054;Lime-S;2022-06-14;300;ativo;Anita Garibaldi
PAT-0055;Xiaomi-Pro2;2022-08-28;187;manutencao;Centro
PAT-0056;Lime-S;2023-01-22;187;inativo;América
PAT-0057;Lime-S;2023-11-04;365;inativo;Itaum
PAT-0058;Xiaomi-Pro2;2021-07-24;300;ativo;Bucarein
PAT-0059;Lime-S;2022-02-08;187;manutencao;Anita Garibaldi
PAT-0060;Segway-E2;2021-04-18;187;inativo;Paranaguamirim
PAT-0061;Xiaomi-Pro2;2022-03-14;300;ativo;Jardim Iririú
PAT-0062;Xiaomi-Pro2;2021-05-15;275;ativo;Centro
PAT-0063;Xiaomi-Pro2;2021-02-15;300;ativo;Paranaguamirim
PAT-0064;Bird-One;2023-02-02;275;manutencao;Bucarein
PAT-0065;Bird-One;2023-09-27;365;ativo;América
PAT-0066;Lime-S;2021-02-25;365;inativo;Jardim Iririú
PAT-0067;Xiaomi-Pro2;2021-03-14;187;inativo;Anita Garibaldi
PAT-0068;Lime-S;2022-08-07;187;ativo;Jardim Iririú
PAT-0069;Segway-E2;2022-01-06;187;ativo;Paranaguamirim
PAT-0070;Xiaomi-Pro2;2022-01-13;275;manutencao;Paranaguamirim
PAT-0071;Segway-E2;2022-08-10;187;ativo;Saguaçu
PAT-0072;Lime-S;2022-12-24;300;ativo;Iririú
PAT-0073;Bird-One;2023-11-23;275;inativo;Jardim Iririú
PAT-0074;Lime-S;2022-03-07;365;ativo;Saguaçu
PAT-0075;Segway-E2;2022-04-02;275;ativo;Paranaguamirim
PAT-0076;Xiaomi-Pro2;2023-12-18;187;ativo;Itaum
PAT-0077;Lime-S;2021-12-11;300;inativo;Paranaguamirim
PAT-0078;Xiaomi-Pro2;2021-01-19;300;ativo;Jardim Iririú
PAT-0079;Bird-One;2022-09-28;187;manutencao;Anita Garibaldi
PAT-0080;Bird-One;2023-03-02;300;ativo;Jardim Iririú
