manutencao_id;patinete_id;tipo_problema;dt_inicio;dt_fim;duracao_horas;custo_r$;tecnico;resolvido
MAN-00020;PAT-0019;Estrutura;2024-04-24 13:00:00;2024-04-25 19:00:00;30;182.04;TEC-05;True
MAN-00021;PAT-0074;Freio;2024-09-28 10:00:00;2024-09-30 14:00:00;52;203.46;TEC-02;True
MAN-00022;PAT-0040;Pneu;2024-12-27 09:00:00;2024-12-28 02:00:00;17;255.82;TEC-05;True
MAN-00023;PAT-0020;Estrutura;2024-01-12 15:00:00;2024-01-14 22:00:00;55;367.57;TEC-01;True
MAN-00024;PAT-0003;Bateria;2024-03-26 16:00:00;2024-03-28 04:00:00;36;362.26;TEC-04;True
MAN-00025;PAT-0025;Tela;2024-09-27 15:00:00;2024-09-30 04:00:00;61;82.11;TEC-03;True
MAN-00026;PAT-0034;Vandalismo;2024-09-24 08:00:00;2024-09-26 01:00:00;41;251.1;TEC-03;True
MAN-00027;PAT-0002;Pneu;2024-08-29 10:00:00;2024-08-30 06:00:00;20;245.44;TEC-02;True
MAN-00028;PAT-0009;Bateria;2024-08-27 17:00:00;2024-08-30 11:00:00;66;47.42;TEC-01;False
MAN-00029;PAT-0047;Tela;2024-01-29 11:00:00;2024-01-31 15:00:00;52;167.92;TEC-04;True
MAN-00030;PAT-0027;Pneu;2024-08-27 09:00:00;2024-08-28 18:00:00;33;15.8;TEC-07;True
MAN-00031;PAT-0042;Vandalismo;2024-07-31 09:00:00;2024-08-02 11:00:00;50;357.03;TEC-07;True
MAN-00032;PAT-0031;Vandalismo;2024-08-06 08:00:00;2024-08-06 22:00:00;14;265.18;TEC-03;True
MAN-00033;PAT-0036;Pneu;2024-10-09 16:00:00;2024-10-10 11:00:00;19;277.52;TEC-01;True
MAN-00034;PAT-0053;Vandalismo;2024-02-26 17:00:00;2024-02-26 21:00:00;4;337.86;TEC-04;True
MAN-00035;PAT-0053;Bateria;2024-08-28 10:00:00;2024-08-30 17:00:00;55;155.48;TEC-06;True
MAN-00036;PAT-0004;Tela;2024-03-07 11:00:00;2024-03-08 03:00:00;16;55.22;TEC-07;True
MAN-00037;PAT-0058;Freio;2024-12-12 17:00:00;2024-12-15 03:00:00;58;306.93;TEC-05;False
MAN-00038;PAT-0042;Pneu;2024-10-28 14:00:00;2024-10-29 20:00:00;30;163.24;TEC-01;True
MAN-00039;PAT-0049;Estrutura;2024-05-08 15:00:00;2024-05-08 19:00:00;4;63.34;TEC-08;True
MAN-00040;PAT-0074;Estrutura;2024-09-08 09:00:00;2024-09-08 10:00:00;1;218.48;TEC-01;True
MAN-00041;PAT-0078;Tela;2024-10-01 11:00:00;2024-10-02 08:00:00;21;208.59;TEC-03;False
MAN-00042;PAT-0077;Tela;2024-09-05 13:00:00;2024-09-08 10:00:00;69;321.85;TEC-07;True
MAN-00043;PAT-0033;Freio;2024-04-26 08:00:00;2024-04-27 19:00:00;35;102.64;TEC-06;True
MAN-00044;PAT-0037;Pneu;2024-08-17 14:00:00;2024-08-19 07:00:00;41;58.82;TEC-03;True
MAN-00045;PAT-0075;Bateria;2024-10-13 09:00:00;2024-10-14 03:00:00;18;35.74;TEC-06;True
MAN-00046;PAT-0035;Pneu;2024-01-04 10:00:00;2024-01-05 21:00:00;35;291.45;TEC-02;True
MAN-00047;PAT-0052;Vandalismo;2024-05-26 16:00:00;2024-05-27 00:00:00;8;78.96;TEC-07;True
MAN-00048;PAT-0056;Pneu;2024-01-08 16:00:00;2024-01-09 17:00:00;25;351.83;TEC-05;True
MAN-00049;PAT-0057;Bateria;2024-07-06 13:00:00;2024-07-07 11:00:00;22;86.04;TEC-07;False
MAN-00050;PAT-0019;Estrutura;2024-08-26 16:00:00;2024-08-27 06:00:00;14;343.99;TEC-04;True
MAN-00051;PAT-0007;Pneu;2024-01-17 08:00:00;2024-01-17 17:00:00;9;;TEC-04;False
MAN-00052;PAT-0013;Vandalismo;2024-03-27 12:00:00;2024-03-29 10:00:00;46;113.3;TEC-04;True
MAN-00053;PAT-0008;Tela;2024-12-08 12:00:00;2024-12-09 18:00:00;30;134.01;TEC-06;False
MAN-00054;PAT-0071;Pneu;2024-04-09 10:00:00;2024-04-11 05:00:00;43;232.12;TEC-07;True
MAN-00055;PAT-0018;Tela;2024-04-19 14:00:00;2024-04-21 12:00:00;46;245.03;TEC-03;True
MAN-00056;PAT-0035;Pneu;2024-04-05 10:00:00;2024-04-05 12:00:00;2;82.12;TEC-04;True
MAN-00057;PAT-0003;Pneu;2024-03-03 14:00:00;2024-03-05 07:00:00;41;107.37;TEC-01;True
MAN-00058;PAT-0018;Freio;2024-10-26 08:00:00;2024-10-26 21:00:00;13;379.39;TEC-04;True
MAN-00059;PAT-0070;Vandalismo;2024-07-15 17:00:00;2024-07-17 04:00:00;35;263.37;TEC-08;True
MAN-00060;PAT-0012;Pneu;2024-12-08 14:00:00;2024-12-09 17:00:00;27;334.39;TEC-05;False
MAN-00061;PAT-0065;Freio;2024-10-09 13:00:00;2024-10-10 07:00:00;18;343.5;TEC-05;True
MAN-00062;PAT-0020;Pneu;2024-08-21 12:00:00;2024-08-22 01:00:00;13;44.65;TEC-01;True
MAN-00063;PAT-0018;Estrutura;2024-07-22 15:00:00;2024-07-23 05:00:00;14;19.0;TEC-01;True
MAN-00064;PAT-0029;Bateria;2024-01-11 14:00:00;2024-01-13 05:00:00;39;287.43;TEC-07;True
MAN-00065;PAT-0066;Tela;2024-08-14 13:00:00;2024-08-15 20:00:00;31;310.83;TEC-08;True
MAN-00066;PAT-0058;Vandalismo;2024-02-03 14:00:00;2024-02-03 21:00:00;7;354.61;TEC-01;False
MAN-00067;PAT-0077;Tela;2024-11-13 09:00:00;2024-11-16 04:00:00;67;67.05;TEC-08;True
MAN-00068;PAT-0037;Vandalismo;2024-05-05 17:00:00;2024-05-08 02:00:00;57;74.24;TEC-01;True
MAN-00069;PAT-0001;Bateria;2024-07-05 10:00:00;2024-07-08 01:00:00;63;335.07;TEC-03;False
MAN-00070;PAT-0020;Estrutura;2024-02-15 13:00:00;2024-02-18 01:00:00;60;93.46;TEC-01;False
MAN-00071;PAT-0051;Tela;2024-01-29 09:00:00;2024-01-30 03:00:00;18;232.78;TEC-02;False
MAN-00072;PAT-0019;Estrutura;2024-07-27 12:00:00;2024-07-28 22:00:00;34;228.73;TEC-02;False
MAN-00073;PAT-0005;Vandalismo;2024-03-15 14:00:00;2024-03-18 02:00:00;60;357.66;TEC-05;True
MAN-00074;PAT-0068;Estrutura;2024-02-07 08:00:00;2024-02-08 01:00:00;17;72.02;TEC-04;True
MAN-00075;PAT-0045;Estrutura;2024-09-02 08:00:00;2024-09-04 08:00:00;48;96.33;TEC-02;True
MAN-00076;PAT-0065;Bateria;2024-04-21 11:00:00;2024-04-22 20:00:00;33;147.94;TEC-02;False
MAN-00077;PAT-0009;Bateria;2024-07-05 08:00:00;2024-07-06 01:00:00;17;18.27;TEC-04;True
MAN-00078;PAT-0064;Freio;2024-11-28 16:00:00;2024-11-29 12:00:00;20;216.23;TEC-03;False
MAN-00079;PAT-0034;Pneu;2024-05-12 10:00:00;2024-05-12 22:00:00;12;112.18;TEC-07;False
MAN-00080;PAT-0042;Pneu;2024-05-24 11:00:00;2024-05-27 04:00:00;65;179.74;TEC-07;True
MAN-00081;PAT-0018;Vandalismo;2024-12-25 09:00:00;2024-12-28 07:00:00;70;315.37;TEC-02;False
MAN-00082;PAT-0060;Freio;2024-11-13 16:00:00;2024-11-14 23:00:00;31;353.3;TEC-02;True
MAN-00083;PAT-0030;Estrutura;2024-04-23 17:00:00;2024-04-25 02:00:00;33;36.46;TEC-06;False
MAN-00084;PAT-0046;Bateria;2024-03-11 12:00:00;2024-03-13 06:00:00;42;237.67;TEC-05;True
MAN-00085;PAT-0025;Bateria;2024-10-04 12:00:00;2024-10-07 10:00:00;70;251.89;TEC-06;True
MAN-00086;PAT-0053;Estrutura;2024-09-14 09:00:00;2024-09-15 00:00:00;15;178.83;TEC-01;True
MAN-00087;PAT-0040;Tela;2024-04-22 08:00:00;2024-04-23 08:00:00;24;63.13;TEC-06;True
MAN-00088;PAT-0021;Tela;2024-01-06 12:00:00;2024-01-06 13:00:00;1;290.29;TEC-03;True
MAN-00089;PAT-0029;Bateria;2024-02-24 14:00:00;2024-02-26 05:00:00;39;103.43;TEC-07;False
MAN-00090;PAT-0045;Vandalismo;2024-11-03 09:00:00;2024-11-06 07:00:00;70;131.16;TEC-04;True
MAN-00091;PAT-0059;Pneu;2024-01-08 13:00:00;2024-01-11 03:00:00;62;323.23;TEC-03;True
MAN-00092;PAT-0003;Vandalismo;2024-04-27 08:00:00;2024-04-30 00:00:00;64;340.36;TEC-02;True
MAN-00093;PAT-0002;Estrutura;2024-03-16 09:00:00;2024-03-16 15:00:00;6;127.54;TEC-02;True
MAN-00094;PAT-0038;Pneu;2024-07-07 09:00:00;2024-07-09 17:00:00;56;143.45;TEC-07;True
MAN-00095;PAT-0012;Bateria;2024-07-12 15:00:00;2024-07-15 07:00:00;64;96.14;TEC-01;True
MAN-00096;PAT-0021;Tela;2024-07-05 16:00:00;2024-07-07 17:00:00;49;293.9;TEC-05;True
MAN-00097;PAT-0080;Freio;2024-07-17 12:00:00;2024-07-18 14:00:00;26;108.38;TEC-08;True
MAN-00098;PAT-0013;Tela;2024-07-25 11:00:00;2024-07-26 14:00:00;27;290.17;TEC-03;True
MAN-00099;PAT-0072;Pneu;2024-04-28 17:00:00;2024-04-30 00:00:00;31;270.47;TEC-03;False
MAN-00100;PAT-0018;Pneu;2024-06-17 11:00:00;2024-06-18 09:00:00;22;312.53;TEC-01;True
MAN-00101;PAT-0071;Bateria;2024-06-07 16:00:00;2024-06-10 16:00:00;72;;TEC-06;True
MAN-00102;PAT-0043;Tela;2024-02-16 09:00:00;2024-02-18 17:00:00;56;299.29;TEC-04;True
MAN-00103;PAT-0014;Bateria;2024-01-02 13:00:00;2024-01-04 11:00:00;46;116.61;TEC-08;False
MAN-00104;PAT-0071;Freio;2024-01-09 09:00:00;2024-01-09 22:00:00;13;20.94;TEC-01;True
MAN-00105;PAT-0015;Vandalismo;2024-05-21 15:00:00;2024-05-23 13:00:00;46;103.72;TEC-08;True
MAN-00106;PAT-0054;Freio;2024-08-03 12:00:00;2024-08-03 20:00:00;8;161.04;TEC-08;False
MAN-00107;PAT-0009;Pneu;2024-03-20 15:00:00;2024-03-21 13:00:00;22;271.12;TEC-05;False
MAN-00108;PAT-0023;Tela;2024-09-15 17:00:00;2024-09-17 13:00:00;44;321.75;TEC-06;True
MAN-00109;PAT-0042;Pneu;2024-08-05 09:00:00;2024-08-07 21:00:00;60;343.08;TEC-05;True
MAN-00110;PAT-0045;Estrutura;2024-06-12 15:00:00;2024-06-15 13:00:00;70;214.58;TEC-05;False
MAN-00111;PAT-0073;Estrutura;2024-05-06 16:00:00;2024-05-08 06:00:00;38;58.38;TEC-08;False
MAN-00112;PAT-0003;Freio;2024-06-21 13:00:00;2024-06-23 21:00:00;56;334.11;TEC-01;False
MAN-00113;PAT-0037;Freio;2024-02-26 10:00:00;2024-02-27 22:00:00;36;223.03;TEC-03;True
MAN-00114;PAT-0051;Bateria;2024-10-06 09:00:00;2024-10-06 17:00:00;8;379.3;TEC-04;True
MAN-00115;PAT-0015;Pneu;2024-08-17 15:00:00;2024-08-20 10:00:00;67;105.8;TEC-02;True
MAN-00116;PAT-0005;Pneu;2024-06-17 09:00:00;2024-06-19 04:00:00;43;149.85;TEC-08;False
MAN-00117;PAT-0008;Vandalismo;2024-03-09 11:00:00;2024-03-12 04:00:00;65;357.76;TEC-02;True
MAN-00118;PAT-0060;Pneu;2024-10-30 13:00:00;2024-11-01 11:00:00;46;161.02;TEC-05;True
MAN-00119;PAT-0078;Vandalismo;2024-10-15 15:00:00;2024-10-18 11:00:00;68;70.58;TEC-07;True
MAN-00120;PAT-0023;Freio;2024-09-16 09:00:00;2024-09-19 05:00:00;68;87.12;TEC-02;True
MAN-00121;PAT-0029;Bateria;2024-06-23 13:00:00;2024-06-24 14:00:00;25;61.42;TEC-06;False
MAN-00122;PAT-0008;Pneu;2024-05-12 10:00:00;2024-05-15 08:00:00;70;171.18;TEC-04;True
MAN-00123;PAT-0034;Pneu;2024-07-11 08:00:00;2024-07-12 06:00:00;22;154.12;TEC-05;True
MAN-00124;PAT-0055;Vandalismo;2024-12-09 17:00:00;2024-12-11 11:00:00;42;309.48;TEC-07;False
MAN-00125;PAT-0053;Bateria;2024-08-24 10:00:00;2024-08-26 18:00:00;56;235.58;TEC-08;True
MAN-00126;PAT-0004;Estrutura;2024-04-26 14:00:00;2024-04-29 04:00:00;62;243.1;TEC-07;False
MAN-00127;PAT-0007;Freio;2024-01-10 10:00:00;2024-01-11 04:00:00;18;208.06;TEC-07;True
MAN-00128;PAT-0011;Freio;2024-05-31 12:00:00;2024-06-02 16:00:00;52;118.55;TEC-03;True
MAN-00129;PAT-0017;Vandalismo;2024-08-10 13:00:00;2024-08-11 12:00:00;23;41.9;TEC-07;False
MAN-00130;PAT-0072;Freio;2024-05-23 14:00:00;2024-05-23 17:00:00;3;151.08;TEC-03;True
MAN-00131;PAT-0032;Pneu;2024-08-24 15:00:00;2024-08-27 09:00:00;66;128.3;TEC-04;True
MAN-00132;PAT-0067;Pneu;2024-03-13 08:00:00;2024-03-14 19:00:00;35;313.06;TEC-06;False
MAN-00133;PAT-0019;Pneu;2024-07-02 09:00:00;2024-07-04 12:00:00;51;368.24;TEC-07;True
MAN-00134;PAT-0059;Estrutura;2024-08-14 09:00:00;2024-08-16 23:00:00;62;327.19;TEC-01;True
MAN-00135;PAT-0012;Vandalismo;2024-01-14 15:00:00;2024-01-15 08:00:00;17;258.3;TEC-06;True
MAN-00136;PAT-0004;Tela;2024-04-14 08:00:00;2024-04-15 06:00:00;22;78.58;TEC-04;False
MAN-00137;PAT-0012;Bateria;2024-09-13 15:00:00;2024-09-15 14:00:00;47;288.2;TEC-01;True
MAN-00138;PAT-0023;Estrutura;2024-03-03 13:00:00;2024-03-05 05:00:00;40;362.23;TEC-03;True
MAN-00139;PAT-0026;Bateria;2024-07-15 12:00:00;2024-07-16 16:00:00;28;82.89;TEC-07;True
MAN-00140;PAT-0017;Estrutura;2024-11-29 15:00:00;2024-12-01 08:00:00;41;206.42;TEC-02;False
MAN-00141;PAT-0073;Pneu;2024-09-29 11:00:00;2024-10-01 11:00:00;48;82.35;TEC-05;True
MAN-00142;PAT-0055;Estrutura;2024-09-03 08:00:00;2024-09-03 19:00:00;11;365.85;TEC-01;True
MAN-00143;PAT-0009;Vandalismo;2024-04-20 09:00:00;2024-04-22 12:00:00;51;220.74;TEC-03;True
MAN-00144;PAT-0045;Estrutura;2024-09-06 13:00:00;2024-09-07 11:00:00;22;62.02;TEC-06;True
MAN-00145;PAT-0012;Pneu;2024-06-06 11:00:00;2024-06-09 11:00:00;72;155.1;TEC-08;True
MAN-00146;PAT-0017;Tela;2024-09-28 08:00:00;2024-09-29 05:00:00;21;160.33;TEC-08;True
MAN-00147;PAT-0004;Freio;2024-04-05 15:00:00;2024-04-06 14:00:00;23;367.77;TEC-01;True
MAN-00148;PAT-0034;Estrutura;2024-05-31 09:00:00;2024-06-01 09:00:00;24;361.25;TEC-04;False
MAN-00149;PAT-0069;Tela;2024-06-03 16:00:00;2024-06-05 13:00:00;45;222.76;TEC-07;False
MAN-00150;PAT-0048;Vandalismo;2024-06-15 15:00:00;2024-06-15 17:00:00;2;163.99;TEC-07;True
MAN-00151;PAT-0002;Estrutura;2024-12-09 10:00:00;2024-12-10 00:00:00;14;84.04;TEC-01;True
MAN-00152;PAT-0064;Bateria;2024-07-15 08:00:00;2024-07-18 05:00:00;69;140.83;TEC-06;True
MAN-00153;PAT-0055;Pneu;2024-03-23 17:00:00;2024-03-24 17:00:00;24;237.75;TEC-01;True
MAN-00154;PAT-0056;Pneu;2024-03-29 13:00:00;2024-03-31 11:00:00;46;230.35;TEC-07;True
MAN-00155;PAT-0042;Freio;2024-05-12 14:00:00;2024-05-14 18:00:00;52;339.74;TEC-04;True
MAN-00156;PAT-0029;Estrutura;2024-12-16 16:00:00;2024-12-17 14:00:00;22;234.3;TEC-01;False
MAN-00157;PAT-0034;Pneu;2024-07-25 10:00:00;2024-07-27 01:00:00;39;314.71;TEC-07;True
MAN-00158;PAT-0040;Freio;2024-08-18 10:00:00;2024-08-20 20:00:00;58;229.62;TEC-07;True
MAN-00159;PAT-0049;Tela;2024-10-11 16:00:00;2024-10-12 15:00:00;23;284.09;TEC-04;True
MAN-00160;PAT-0006;Vandalismo;2024-06-02 08:00:00;2024-06-05 07:00:00;71;303.76;TEC-07;True
MAN-00161;PAT-0040;Freio;2024-08-17 14:00:00;2024-08-19 19:00:00;53;282.92;TEC-01;True
MAN-00162;PAT-0023;Vandalismo;2024-08-07 12:00:00;2024-08-08 13:00:00;25;105.5;TEC-06;True
MAN-00163;PAT-0019;Estrutura;2024-03-10 08:00:00;2024-03-11 17:00:00;33;132.02;TEC-01;True
MAN-00164;PAT-0057;Vandalismo;2024-08-16 14:00:00;2024-08-17 14:00:00;24;216.79;TEC-03;True
MAN-00165;PAT-0054;Estrutura;2024-12-15 11:00:00;2024-12-15 13:00:00;2;189.27;TEC-02;True
MAN-00166;PAT-0029;Estrutura;2024-03-14 15:00:00;2024-03-15 03:00:00;12;369.98;TEC-07;True
MAN-00167;PAT-0039;Pneu;2024-02-04 11:00:00;2024-02-05 09:00:00;22;217.93;TEC-05;True
MAN-00168;PAT-0050;Pneu;2024-06-22 11:00:00;2024-06-23 08:00:00;21;184.36;TEC-01;True
MAN-00169;PAT-0004;Bateria;2024-10-07 14:00:00;2024-10-08 22:00:00;32;195.83;TEC-02;True
MAN-00170;PAT-0014;Vandalismo;2024-08-31 14:00:00;2024-09-02 02:00:00;36;237.98;TEC-01;True
MAN-00171;PAT-0080;Tela;2024-12-20 10:00:00;2024-12-20 22:00:00;12;150.84;TEC-04;True
MAN-00172;PAT-0012;Vandalismo;2024-07-02 17:00:00;2024-07-04 06:00:00;37;300.06;TEC-01;False
MAN-00173;PAT-0043;Tela;2024-03-05 11:00:00;2024-03-06 10:00:00;23;19.51;TEC-02;False
MAN-00174;PAT-0031;Bateria;2024-09-27 14:00:00;2024-09-27 16:00:00;2;59.32;TEC-03;True
MAN-00175;PAT-0001;Vandalismo;2024-09-15 15:00:00;2024-09-15 17:00:00;2;108.0;TEC-01;True
MAN-00176;PAT-0047;Vandalismo;2024-11-06 08:00:00;2024-11-08 14:00:00;54;78.02;TEC-04;True
MAN-00177;PAT-0064;Tela;2024-07-27 08:00:00;2024-07-29 11:00:00;51;205.99;TEC-01;True
MAN-00178;PAT-0027;Estrutura;2024-05-14 16:00:00;2024-05-15 14:00:00;22;331.43;TEC-03;False
MAN-00179;PAT-0040;Freio;2024-09-24 14:00:00;2024-09-26 23:00:00;57;106.79;TEC-06;True
MAN-00180;PAT-0063;Freio;2024-10-29 11:00:00;2024-10-29 17:00:00;6;236.92;TEC-03;True
MAN-00181;PAT-0020;Bateria;2024-03-31 08:00:00;2024-04-01 02:00:00;18;105.16;TEC-01;True
MAN-00182;PAT-0034;Vandalismo;2024-12-21 13:00:00;2024-12-23 18:00:00;53;134.49;TEC-05;True
MAN-00183;PAT-0031;Pneu;2024-07-08 11:00:00;2024-07-10 15:00:00;52;235.14;TEC-06;False
MAN-00184;PAT-0045;Bateria;2024-05-12 08:00:00;2024-05-12 09:00:00;1;287.3;TEC-03;False
MAN-00185;PAT-0072;Tela;2024-06-26 08:00:00;2024-06-27 18:00:00;34;371.26;TEC-04;False
MAN-00186;PAT-0054;Vandalismo;2024-12-17 16:00:00;2024-12-19 12:00:00;44;233.81;TEC-08;True
MAN-00187;PAT-0011;Estrutura;2024-11-05 10:00:00;2024-11-05 17:00:00;7;71.49;TEC-06;True
MAN-00188;PAT-0063;Pneu;2024-08-30 11:00:00;2024-09-01 10:00:00;47;61.01;TEC-08;True
MAN-00189;PAT-0053;Vandalismo;2024-10-22 14:00:00;2024-10-24 22:00:00;56;18.59;TEC-06;True
MAN-00190;PAT-0069;Bateria;2024-02-12 13:00:00;2024-02-13 14:00:00;25;16.61;TEC-04;False
MAN-00191;PAT-0022;Estrutura;2024-11-01 15:00:00;2024-11-02 15:00:00;24;39.27;TEC-02;False
MAN-00192;PAT-0021;Pneu;2024-08-07 12:00:00;2024-08-07 21:00:00;9;123.58;TEC-03;True
MAN-00193;PAT-0041;Vandalismo;2024-01-05 13:00:00;2024-01-08 03:00:00;62;253.12;TEC-07;True
MAN-00194;PAT-0013;Vandalismo;2024-04-08 13:00:00;2024-04-10 02:00:00;37;255.25;TEC-01;True
MAN-00195;PAT-0017;Pneu;2024-07-29 15:00:00;2024-07-29 21:00:00;6;185.24;TEC-01;True
MAN-00196;PAT-0059;Bateria;2024-01-30 15:00:00;2024-01-30 18:00:00;3;160.6;TEC-07;False
MAN-00197;PAT-0024;Pneu;2024-09-13 17:00:00;2024-09-14 23:00:00;30;321.63;TEC-01;True
MAN-00198;PAT-0051;Pneu;2024-08-25 15:00:00;2024-08-26 01:00:00;10;279.4;TEC-03;False
MAN-00199;PAT-0058;Freio;2024-12-29 13:00:00;2024-12-29 20:00:00;7;359.52;TEC-08;True
MAN-00200;PAT-0001;Freio;2024-06-25 12:00:00;2024-06-25 23:00:00;11;364.15;TEC-06;True
MAN-00201;PAT-0066;Bateria;2024-03-22 14:00:00;2024-03-23 19:00:00;29;;TEC-08;True
MAN-00202;PAT-0051;Bateria;2024-02-09 17:00:00;2024-02-11 01:00:00;32;253.0;TEC-05;True
MAN-00203;PAT-0054;Pneu;2024-12-26 08:00:00;2024-12-28 08:00:00;48;97.79;TEC-06;False
MAN-00204;PAT-0050;Freio;2024-05-03 16:00:00;2024-05-04 18:00:00;26;27.32;TEC-05;True
MAN-00205;PAT-0045;Estrutura;2024-05-12 10:00:00;2024-05-15 07:00:00;69;118.75;TEC-05;False
MAN-00206;PAT-0052;Vandalismo;2024-04-02 15:00:00;2024-04-03 14:00:00;23;356.56;TEC-03;True
MAN-00207;PAT-0020;Bateria;2024-04-17 14:00:00;2024-04-18 08:00:00;18;40.81;TEC-01;False
MAN-00208;PAT-0017;Pneu;2024-03-07 15:00:00;2024-03-08 12:00:00;21;124.69;TEC-06;True
MAN-00209;PAT-0036;Freio;2024-04-15 10:00:00;2024-04-17 01:00:00;39;21.09;TEC-05;True
MAN-00210;PAT-0010;Estrutura;2024-01-31 10:00:00;2024-02-02 22:00:00;60;203.55;TEC-05;False
MAN-00211;PAT-0080;Estrutura;2024-03-30 10:00:00;2024-03-30 22:00:00;12;224.84;TEC-05;False
MAN-00212;PAT-0057;Freio;2024-09-03 09:00:00;2024-09-03 21:00:00;12;132.31;TEC-06;True
MAN-00213;PAT-0053;Estrutura;2024-02-24 09:00:00;2024-02-25 14:00:00;29;343.91;TEC-04;False
MAN-00214;PAT-0070;Estrutura;2024-08-25 13:00:00;2024-08-27 14:00:00;49;322.92;TEC-02;True
MAN-00215;PAT-0057;Bateria;2024-11-29 15:00:00;2024-11-29 16:00:00;1;186.58;TEC-02;True
MAN-00216;PAT-0066;Vandalismo;2024-08-06 17:00:00;2024-08-06 23:00:00;6;27.11;TEC-01;True
MAN-00217;PAT-0035;Estrutura;2024-03-02 15:00:00;2024-03-04 21:00:00;54;238.71;TEC-02;False
MAN-00218;PAT-0080;Estrutura;2024-02-24 14:00:00;2024-02-24 17:00:00;3;173.69;TEC-07;True
MAN-00219;PAT-0038;Freio;2024-03-25 08:00:00;2024-03-28 04:00:00;68;134.44;TEC-06;True
MAN-00220;PAT-0061;Pneu;2024-05-30 10:00:00;2024-05-31 05:00:00;19;260.05;TEC-06;False
MAN-00221;PAT-0060;Bateria;2024-11-11 16:00:00;2024-11-14 04:00:00;60;123.45;TEC-04;True
MAN-00222;PAT-0011;Estrutura;2024-07-09 09:00:00;2024-07-12 00:00:00;63;285.93;TEC-05;True
MAN-00223;PAT-0021;Freio;2024-05-27 12:00:00;2024-05-27 17:00:00;5;258.5;TEC-05;True
MAN-00224;PAT-0075;Pneu;2024-10-09 14:00:00;2024-10-11 08:00:00;42;269.51;TEC-06;True
MAN-00225;PAT-0008;Vandalismo;2024-10-22 16:00:00;2024-10-24 20:00:00;52;123.35;TEC-07;False
MAN-00226;PAT-0027;Tela;2024-04-29 08:00:00;2024-04-30 20:00:00;36;19.15;TEC-07;True
MAN-00227;PAT-0047;Freio;2024-07-10 10:00:00;2024-07-12 14:00:00;52;241.7;TEC-03;False
MAN-00228;PAT-0002;Freio;2024-02-23 14:00:00;2024-02-24 05:00:00;15;273.94;TEC-03;False
MAN-00229;PAT-0005;Pneu;2024-10-23 08:00:00;2024-10-25 14:00:00;54;70.24;TEC-06;True
MAN-00230;PAT-0053;Bateria;2024-04-16 17:00:00;2024-04-17 01:00:00;8;204.29;TEC-03;True
MAN-00231;PAT-0014;Pneu;2024-04-01 10:00:00;2024-04-03 23:00:00;61;100.24;TEC-02;True
MAN-00232;PAT-0066;Vandalismo;2024-01-16 10:00:00;2024-01-18 18:00:00;56;318.55;TEC-08;False
MAN-00233;PAT-0039;Bateria;2024-07-30 17:00:00;2024-07-31 10:00:00;17;26.31;TEC-08;True
MAN-00234;PAT-0065;Estrutura;2024-10-08 08:00:00;2024-10-10 11:00:00;51;355.36;TEC-01;True
