viagem_id;patinete_id;usuario_id;bairro_origem;bairro_destino;lat_origem;lon_origem;lat_destino;lon_destino;dt_inicio;dt_fim;duracao_min;distancia_km;valor_cobrado;bateria_inicio
VGM-000012;PAT-0022;USR-00268;América;Glória;-26.28630090147838;-48.85537346796544;-26.32108089437056;-48.826821779264336;2024-10-06 12:27:00;2024-10-06 12:36:00;9;4.2;6.43;52
VGM-000013;PAT-0025;USR-00212;América;Itaum;-26.287675573591997;-48.84693562546656;-26.32802836307862;-48.815210526441454;2024-11-30 13:19:00;2024-11-30 13:24:00;5;1.12;3.77;29
VGM-000014;PAT-0078;USR-00133;América;Itaum;-26.293876608893218;-48.854607546288825;-26.333065646570432;-48.819981304689755;2024-08-18 14:22:00;2024-08-18 14:30:00;8;5.13;7.85;59
VGM-000015;PAT-0003;USR-00155;Jardim Iririú;América;-26.27118175032793;-48.859675793177246;-26.289584955187436;-48.85145043120272;2024-08-12 09:49:00;2024-08-12 10:07:00;18;5.21;8.58;98
VGM-000016;PAT-0009;USR-00300;Paranaguamirim;Jardim Iririú;-26.343165954901465;-48.81588904397399;-26.270401718620597;-48.85746524394553;2024-04-17 17:55:00;2024-04-17 18:37:00;42;2.76;5.65;115
VGM-000017;PAT-0032;USR-00029;Bucarein;Itaum;-26.299957577570403;-48.84352656673741;-26.326139138911863;-48.82367529343658;2024-11-19 19:10:00;2024-11-19 19:52:00;42;0.38;2.88;70
VGM-000018;PAT-0019;USR-00115;Centro;Itaum;-26.30415243568368;-48.84220166654313;-26.32604310055733;-48.81953084486207;2024-03-12 12:52:00;2024-03-12 13:08:00;16;3.82;6.3;92
VGM-000019;PAT-0035;USR-00006;Saguaçu;Anita Garibaldi;-26.28568054981358;-48.852781766032244;-26.31402712795719;-48.83453752399869;2024-01-31 17:34:00;2024-01-31 17:54:00;20;7.72;11.01;97
VGM-000020;PAT-0028;USR-00249;Saguaçu;Centro;-26.28708770859802;-48.84636210313824;-26.307100062460368;-48.8503052687719;2024-11-01 11:20:00;2024-11-01 11:41:00;21;6.2;9.54;95
VGM-000021;PAT-0009;USR-00015;Saguaçu;Glória;-26.283881471052776;-48.84336605565786;-26.32088696027934;-48.83082015914493;2024-05-28 14:54:00;2024-05-28 15:29:00;35;3.93;6.57;51
VGM-000022;PAT-0029;USR-00154;Jardim Iririú;Jardim Iririú;-26.27160506139348;-48.85939831816538;-26.2705946841482;-48.856467152014325;2024-12-13 09:08:00;2024-12-13 09:37:00;29;5.57;8.2;97
VGM-000023;PAT-0027;USR-00152;Glória;América;-26.322078553514647;-48.82563177537967;-26.289276161567084;-48.84743846378005;2024-01-31 14:55:00;2024-01-31 15:39:00;44;5.13;8.0;51
VGM-000024;PAT-0042;USR-00239;América;Saguaçu;-26.292336381567065;-48.85547742120714;-26.281739353154517;-48.8520076233508;2024-03-05 10:15:00;2024-03-05 10:27:00;12;5.51;8.23;53
VGM-000025;PAT-0010;USR-00136;Saguaçu;Itaum;-26.28543930015783;-48.84881206680926;-26.328269078690887;-48.824092791172525;2024-12-30 16:53:00;2024-12-30 17:11:00;18;6.5;9.74;55
VGM-000026;PAT-0029;USR-00149;Anita Garibaldi;Centro;-26.309148240386072;-48.83739842209038;-26.301156495527508;-48.84857304522998;2024-12-12 18:31:00;2024-12-12 18:43:00;12;8.44;9.72;94
VGM-000027;PAT-0029;USR-00092;Itaum;Saguaçu;-26.333003262178416;-48.817691790350196;-26.286030078377927;-48.84425233937446;2024-10-22 14:40:00;2024-10-22 15:09:00;29;2.36;4.71;77
VGM-000028;PAT-0018;USR-00034;Jardim Iririú;Glória;-26.267857655615863;-48.85518702909503;-26.323436830292913;-48.83371097414926;2024-07-11 20:04:00;2024-07-11 20:47:00;43;3.64;6.42;56
VGM-000029;PAT-0010;USR-00028;Itaum;Centro;-26.329075854311377;-48.822434699375556;-26.302020490526026;-48.84400003197373;2024-02-17 18:32:00;2024-02-17 18:52:00;20;2.52;5.5;48
VGM-000030;PAT-0019;USR-00004;Glória;Saguaçu;-26.3245354958728;-48.82845825398526;-26.286395254948584;-48.85198834380387;2024-12-21 17:29:00;2024-12-21 18:03:00;34;5.48;8.05;93
VGM-000031;PAT-0072;USR-00233;Saguaçu;Jardim Iririú;-26.283924551480986;-48.8510190236724;-26.26628729174771;-48.858768621462524;2024-06-16 06:55:00;2024-06-16 07:03:00;8;2.99;5.63;54
VGM-000032;PAT-0017;USR-00137;Anita Garibaldi;Centro;-26.315294758763127;-48.834346697454286;-26.306693560580182;-48.847639327008814;2024-08-22 17:54:00;2024-08-22 18:01:00;7;4.26;6.02;72
VGM-000033;PAT-0032;USR-00129;América;Iririú;-26.295349484070147;-48.851360675133115;-26.27918770365193;-48.85211086037034;2024-09-30 18:13:00;2024-09-30 18:43:00;30;2.63;5.27;53
VGM-000034;PAT-0061;USR-00103;Iririú;Anita Garibaldi;-26.270511144627466;-48.85027994670368;-26.307074182045124;-48.83766309551175;2024-04-18 21:17:00;2024-04-18 21:40:00;23;5.59;9.06;22
VGM-000035;PAT-0019;USR-00032;América;Jardim Iririú;-26.286343679669255;-48.84991472727303;-26.271437984920695;-48.8586079817061;2024-05-25 16:35:00;2024-05-25 17:14:00;39;2.47;5.34;87
VGM-000036;PAT-0036;USR-00257;Paranaguamirim;Jardim Iririú;-26.336916026518836;-48.81650493627913;-26.263115790060365;-48.86264317465424;2024-03-07 21:50:00;2024-03-07 22:14:00;24;4.66;7.34;91
VGM-000037;PAT-0043;USR-00034;Anita Garibaldi;Glória;-26.313953862308267;-48.83885904215112;-26.315227200674336;-48.827863397168876;2024-12-15 07:02:00;2024-12-15 07:11:00;9;3.1;5.26;41
VGM-000038;PAT-0072;USR-00256;Itaum;Centro;-26.334023278859934;-48.82348753171265;-26.30146181896092;-48.8424632196544;2024-11-16 20:01:00;2024-11-16 20:11:00;10;5.86;9.36;38
VGM-000039;PAT-0046;USR-00078;Centro;Anita Garibaldi;-26.30255766973488;-48.84894683070049;-26.31040577037918;-48.83873198200873;2024-03-21 20:29:00;2024-03-21 20:32:00;3;4.43;6.62;48
VGM-000040;PAT-0010;USR-00099;Itaum;Iririú;-26.3305984750626;-48.8224903333866;-26.27422192949749;-48.85133404311404;2024-08-07 12:44:00;2024-08-07 12:55:00;11;5.43;7.36;26
VGM-000041;PAT-0022;USR-00001;Paranaguamirim;Paranaguamirim;-26.343779617651553;-48.81149383942159;-26.33633898454622;-48.81406424745585;2024-11-28 15:10:00;2024-11-28 15:30:00;20;1.21;3.56;95
VGM-000042;PAT-0080;USR-00289;Paranaguamirim;Paranaguamirim;-26.340048230898887;-48.81438777211717;-26.342105604783804;-48.818728895091326;2024-02-17 17:16:00;2024-02-17 17:24:00;8;6.5;10.23;62
VGM-000043;PAT-0037;USR-00158;Paranaguamirim;Bucarein;-26.344656114788847;-48.81476609088625;-26.298323187875148;-48.842724581446404;2024-07-09 11:03:00;2024-07-09 11:31:00;28;1.79;4.07;84
VGM-000044;PAT-0038;USR-00195;Jardim Iririú;Iririú;-26.263906795979214;-48.863852311281306;-26.273806100306334;-48.85839139706515;2024-11-16 15:46:00;2024-11-16 16:03:00;17;0.35;2.83;73
VGM-000045;PAT-0029;USR-00112;América;Paranaguamirim;-26.293412200184;-48.8473986030665;-26.340888095241304;-48.81299652111133;2024-08-07 08:45:00;2024-08-07 08:54:00;9;7.63;10.67;36
VGM-000046;PAT-0003;USR-00036;Paranaguamirim;Itaum;-26.33837477715646;-48.81277185696791;-26.330725135459094;-48.81741131865582;2024-01-01 12:30:00;2024-01-01 12:37:00;7;4.48;-2.5;97
VGM-000047;PAT-0002;USR-00140;Saguaçu;Paranaguamirim;-26.286882889239106;-48.852323316380996;-26.34169715332498;-48.81894203479727;2024-03-08 13:33:00;2024-03-08 14:04:00;31;4.37;7.04;81
VGM-000048;PAT-0061;USR-00221;Paranaguamirim;América;-26.33979931978822;-48.8129216490277;-26.290357681833154;-48.850938601473054;2024-01-05 06:44:00;2024-01-05 07:08:00;24;1.77;4.39;47
VGM-000049;PAT-0025;USR-00295;América;Anita Garibaldi;-26.290532897206567;-48.85056461782657;-26.30849425471985;-48.831853749439745;2024-03-02 19:44:00;2024-03-02 19:55:00;11;6.54;8.22;93
VGM-000050;PAT-0014;USR-00214;Bucarein;Anita Garibaldi;-26.301151455444742;-48.84618274654253;-26.31498471621994;-48.83063836958449;2024-09-01 08:14:00;2024-09-01 08:41:00;27;5.82;8.58;88
VGM-000051;PAT-0069;USR-00092;América;Iririú;-26.286304153722355;-48.851416993584714;-26.270655669612463;-48.854864821332576;2024-02-15 09:06:00;2024-02-15 09:29:00;23;1.08;3.7;86
VGM-000052;PAT-0063;USR-00278;Anita Garibaldi;Saguaçu;-26.30924867176639;-48.8351530371287;-26.283109123462516;-48.84349720776388;2024-07-07 15:08:00;2024-07-07 15:35:00;27;7.37;10.76;94
VGM-000053;PAT-0080;USR-00223;Saguaçu;Iririú;-26.28060501058436;-48.851342254598364;-26.271767267873198;-48.854643110295434;2024-03-09 10:04:00;2024-03-09 10:40:00;36;3.11;5.84;54
VGM-000054;PAT-0010;USR-00166;Anita Garibaldi;Jardim Iririú;-26.308051726495723;-48.83054301853;-26.2674380930737;-48.861058095054;2024-10-15 06:39:00;2024-10-15 07:23:00;44;5.93;7.69;32
VGM-000055;PAT-0027;USR-00014;Centro;Anita Garibaldi;-26.30342100021189;-48.8427002462852;-26.30920483298576;-48.83151796871447;2024-03-25 20:22:00;2024-03-25 20:38:00;16;7.04;10.06;51
VGM-000056;PAT-0076;USR-00189;Paranaguamirim;Glória;-26.335781257649767;-48.81330977662671;-26.324837996026606;-48.83007017289542;2024-11-17 10:58:00;2024-11-17 11:27:00;29;1.89;4.55;40
VGM-000057;PAT-0078;USR-00221;Jardim Iririú;Glória;-26.27211507497948;-48.86037704438999;-26.316816195752207;-48.83028097489435;2024-11-11 20:55:00;2024-11-11 21:11:00;16;1.19;3.72;33
VGM-000058;PAT-0009;USR-00004;Iririú;Itaum;-26.278040171375807;-48.85588234458415;-26.334598611409145;-48.820096875105904;2024-02-14 09:08:00;2024-02-14 09:18:00;10;2.2;4.44;21
VGM-000059;PAT-0003;USR-00129;América;América;-26.295547727110893;-48.84949026532849;-26.287100866236372;-48.847532149981305;2024-10-28 18:22:00;2024-10-28 18:52:00;30;2.82;5.28;93
VGM-000060;PAT-0076;USR-00278;Centro;Jardim Iririú;-26.30614669669237;-48.845745681305935;-26.263080372527615;-48.85668058458312;2024-06-10 10:15:00;2024-06-10 10:35:00;20;2.8;5.32;77
VGM-000061;PAT-0031;USR-00201;Anita Garibaldi;Itaum;-26.313113227103106;-48.839377268941185;-26.332059325378232;-48.8209648000756;2024-11-26 08:15:00;2024-11-26 08:53:00;38;6.58;8.07;36
VGM-000062;PAT-0017;USR-00275;Saguaçu;Jardim Iririú;-26.28728650968226;-48.8478749735123;-26.270896814437144;-48.861667001401294;2024-11-03 15:49:00;2024-11-03 15:53:00;4;4.17;7.04;27
VGM-000063;PAT-0042;USR-00067;Bucarein;Saguaçu;-26.294712624908477;-48.83893596382767;-26.28234636636142;-48.84808071975961;2024-12-03 15:13:00;2024-12-03 15:49:00;36;5.91;7.92;42
VGM-000064;PAT-0034;USR-00152;Anita Garibaldi;Anita Garibaldi;-26.313432466733065;-48.835407601224034;-26.314469736590798;-48.83427227490263;2024-11-06 22:12:00;2024-11-06 22:40:00;28;7.91;9.61;34
VGM-000065;PAT-0061;USR-00148;América;Saguaçu;-26.29319065490313;-48.855480434224454;-26.281344376168278;-48.85061662789372;2024-05-31 07:50:00;2024-05-31 08:08:00;18;2.02;4.6;81
VGM-000066;PAT-0046;USR-00198;Paranaguamirim;Paranaguamirim;-26.339573039168418;-48.81213721800616;-26.343971574078424;-48.812060449152845;2024-09-10 18:07:00;2024-09-10 18:25:00;18;5.81;8.62;25
VGM-000067;PAT-0011;USR-00071;Glória;Paranaguamirim;-26.323590757750253;-48.83298636217864;-26.343740448036208;-48.81513517234267;2024-09-12 08:33:00;2024-09-12 08:36:00;3;2.95;5.26;81
VGM-000068;PAT-0069;USR-00102;Centro;Glória;-26.30137803019246;-48.848613791651125;-26.315208484448995;-48.8316595445158;2024-07-03 16:08:00;2024-07-03 16:35:00;27;1.87;4.66;61
VGM-000069;PAT-0054;USR-00199;América;Anita Garibaldi;-26.295254493563203;-48.85435293646567;-26.3102616110173;-48.83893179007036;2024-10-18 19:23:00;2024-10-18 20:00:00;37;3.55;6.49;58
VGM-000070;PAT-0046;USR-00048;América;Iririú;-26.286131130633994;-48.85269784935129;-26.271531127755708;-48.85761154839596;2024-12-15 11:48:00;2024-12-15 12:21:00;33;1.71;4.12;86
VGM-000071;PAT-0043;USR-00131;Paranaguamirim;Saguaçu;-26.337277552307032;-48.81243248494311;-26.286756706226484;-48.84350718828244;2024-02-07 06:37:00;2024-02-07 06:44:00;7;1.6;4.03;64
VGM-000072;PAT-0050;USR-00192;Glória;Saguaçu;-26.32301284318466;-48.82980614140496;-26.283235162504795;-48.849949003131805;2024-01-08 14:13:00;2024-01-08 14:18:00;5;5.73;8.73;44
VGM-000073;PAT-0004;USR-00261;Iririú;Iririú;-26.279944778828764;-48.85795118725849;-26.27405758172691;-48.85831140710633;2024-01-31 18:32:00;2024-01-31 18:53:00;21;2.97;5.98;56
VGM-000074;PAT-0058;USR-00204;Paranaguamirim;Saguaçu;-26.336845385715453;-48.81122169921848;-26.28396849879877;-48.84839327208345;2024-11-17 22:49:00;2024-11-17 23:18:00;29;4.54;6.97;100
VGM-000075;PAT-0072;USR-00202;Anita Garibaldi;Saguaçu;-26.309931426561526;-48.83120418145049;-26.283174675404624;-48.849929122566394;2024-08-04 18:05:00;2024-08-04 18:48:00;43;4.18;6.41;72
VGM-000076;PAT-0013;USR-00225;Itaum;Itaum;-26.32770992831959;-48.816294215749544;-26.32924640826871;-48.824648407497286;2024-10-01 10:17:00;2024-10-01 10:25:00;8;5.18;7.17;67
VGM-000077;PAT-0075;USR-00142;Centro;América;-26.301687296533142;-48.84881203788619;-26.291709376306972;-48.8527685478272;2024-06-07 08:32:00;2024-06-07 08:48:00;16;3.72;5.58;63
VGM-000078;PAT-0043;USR-00054;Bucarein;Centro;-26.302259553482656;-48.84248760655819;-26.306640773056195;-48.845758913760605;2024-03-20 16:25:00;2024-03-20 17:05:00;40;6.26;7.82;80
VGM-000079;PAT-0001;USR-00136;Glória;Centro;-26.32141534271456;-48.82515010343859;-26.30171418669087;-48.8456828762798;2024-11-20 08:19:00;2024-11-20 08:49:00;30;2.18;4.57;94
VGM-000080;PAT-0025;USR-00218;Centro;Anita Garibaldi;-26.30824130940475;-48.8434798752369;-26.31473727569997;-48.83643441078823;2024-05-02 07:15:00;2024-05-02 07:23:00;8;2.46;5.01;36
VGM-000081;PAT-0032;USR-00163;Paranaguamirim;Bucarein;-26.336368965741244;-48.81972832578774;-26.296076456938454;-48.842526972437476;2024-08-10 09:29:00;2024-08-10 10:11:00;42;7.96;10.12;36
VGM-000082;PAT-0013;USR-00281;Glória;América;-26.318767018731723;-48.83434795408739;-26.293666671773508;-48.84634482081765;2024-11-07 07:19:00;2024-11-07 08:04:00;45;7.14;8.4;24
VGM-000083;PAT-0022;USR-00004;Paranaguamirim;América;-26.341691019751472;-48.81536068623188;-26.289746698300455;-48.8522265152277;2024-12-02 11:07:00;2024-12-02 11:10:00;3;3.34;6.26;51
VGM-000084;PAT-0045;USR-00191;Jardim Iririú;Jardim Iririú;-26.27236441649714;-48.855907797941384;-26.26552921732871;-48.8624177318674;2024-12-28 10:44:00;2024-12-28 10:47:00;3;2.81;5.03;21
VGM-000085;PAT-0046;USR-00081;Anita Garibaldi;Jardim Iririú;-26.313890176782845;-48.834612982020474;-26.270812861110937;-48.86256532955933;2024-03-24 21:22:00;2024-03-24 21:58:00;36;6.26;8.75;25
VGM-000086;PAT-0050;USR-00195;Saguaçu;Iririú;-26.286748166779734;-48.84802187491966;-26.279400566991384;-48.85542235387295;2024-09-21 14:10:00;2024-09-21 14:36:00;26;7.1;10.83;58
VGM-000087;PAT-0076;USR-00152;Jardim Iririú;Bucarein;-26.26570393821662;-48.86394526300043;-26.301690262570055;-48.83940479851283;2024-03-05 14:46:00;2024-03-05 14:56:00;10;2.89;5.45;55
VGM-000088;PAT-0031;USR-00200;Iririú;Bucarein;-26.273624425286446;-48.85343219895275;-26.29694003032729;-48.844940118158114;2024-01-16 16:51:00;2024-01-16 17:21:00;30;2.83;5.69;92
VGM-000089;PAT-0035;USR-00200;Paranaguamirim;América;-26.336127872574238;-48.811778968393995;-26.287505535937743;-48.84890703872859;2024-05-19 22:04:00;2024-05-19 22:23:00;19;4.92;7.44;75
VGM-000090;PAT-0015;USR-00189;Iririú;Anita Garibaldi;-26.275277850748378;-48.85619579992492;-26.316550031787646;-48.839788501766506;2024-12-30 08:31:00;2024-12-30 09:03:00;32;6.55;8.84;58
VGM-000091;PAT-0013;USR-00230;Saguaçu;Itaum;-26.288804057540617;-48.845243881490745;-26.327658487409582;-48.82081067022016;2024-09-18 17:03:00;2024-09-18 17:37:00;34;0.35;2.82;68
VGM-000092;PAT-0030;USR-00202;Paranaguamirim;Itaum;-26.33786755212777;-48.81035523346099;-26.331586813540497;-48.817241349347974;2024-10-17 11:23:00;2024-10-17 11:36:00;13;8.01;12.05;28
VGM-000093;PAT-0050;USR-00041;Paranaguamirim;América;-26.337392149513832;-48.81796233540872;-26.291214716300804;-48.852612670442255;2024-05-10 09:57:00;2024-05-10 10:36:00;39;0.75;3.29;38
VGM-000094;PAT-0080;USR-00166;Bucarein;Centro;-26.297387228024302;-48.84176670368805;-26.300111404501546;-48.84556262898555;2024-12-11 09:14:00;2024-12-11 09:49:00;35;3.65;6.13;98
VGM-000095;PAT-0080;USR-00191;América;Saguaçu;-26.288290328200453;-48.853128620419156;-26.28668028495264;-48.85095020767174;2024-01-02 07:54:00;2024-01-02 07:57:00;3;5.6;7.22;48
VGM-000096;PAT-0076;USR-00245;Centro;Glória;-26.304462044036356;-48.84327145580966;-26.320346630660605;-48.827580046088734;2024-05-05 07:30:00;2024-05-05 07:56:00;26;1.45;3.91;92
VGM-000097;PAT-0037;USR-00237;Bucarein;América;-26.297772671706177;-48.841224066341184;-26.295863175852393;-48.85547720896731;2024-07-15 10:11:00;2024-07-15 10:16:00;5;4.05;6.25;26
VGM-000098;PAT-0036;USR-00232;Centro;Centro;-26.305124589816415;-48.8448541758245;-26.30858401279995;-48.84267457355125;2024-10-10 19:14:00;2024-10-10 19:37:00;23;2.55;4.68;23
VGM-000099;PAT-0004;USR-00174;Bucarein;América;-26.302745808732556;-48.83902085840384;-26.293414084088653;-48.854018036135784;2024-05-07 19:58:00;2024-05-07 20:21:00;23;7.01;8.45;38
VGM-000100;PAT-0029;USR-00281;Anita Garibaldi;Jardim Iririú;-26.315921085730068;-48.83604029527338;-26.27272147759179;-48.85625601968292;2024-05-18 08:36:00;2024-05-18 09:02:00;26;1.96;4.66;65
VGM-000101;PAT-0076;USR-00221;Glória;Iririú;-26.324685708143132;-48.82584909931593;-26.273686246739516;-48.85647470758699;2024-03-02 22:43:00;2024-03-02 22:33:00;6;5.73;9.36;33
VGM-000102;PAT-0054;USR-00028;Bucarein;Saguaçu;-26.29663589588736;-48.84166971132754;-26.285736016431983;-48.845773164255256;2024-04-01 13:51:00;2024-04-01 14:27:00;36;2.4;4.46;37
VGM-000103;PAT-0045;USR-00128;Anita Garibaldi;Centro;-26.313856440189237;-48.83842045177165;-26.30391854797272;-48.848007747022145;2024-01-24 18:04:00;2024-01-24 18:36:00;32;7.13;8.4;34
VGM-000104;PAT-0036;USR-00009;Saguaçu;Anita Garibaldi;-26.284914293088352;-48.84604100881831;-26.31525352814104;-48.83094088328765;2024-05-24 15:20:00;2024-05-24 15:28:00;8;0.49;2.91;46
VGM-000105;PAT-0078;USR-00129;Paranaguamirim;Iririú;-26.33592433526074;-48.81206738649561;-26.27704067970563;-48.858733628744815;2024-10-10 20:00:00;2024-10-10 20:26:00;26;3.81;6.36;79
VGM-000106;PAT-0075;USR-00286;Bucarein;América;-26.30050707770851;-48.843832383229326;-26.289361755251473;-48.85421480210727;2024-04-12 15:36:00;2024-04-12 15:58:00;22;3.44;5.43;62
VGM-000107;PAT-0038;USR-00214;Saguaçu;Jardim Iririú;-26.285896170769643;-48.84442820743001;-26.263346972763696;-48.86006969874841;2024-11-14 13:29:00;2024-11-14 13:55:00;26;4.88;6.59;70
VGM-000108;PAT-0049;USR-00151;Iririú;Itaum;-26.272444488614568;-48.85093856745234;-26.334495832263976;-48.82418061560962;2024-10-29 21:49:00;2024-10-29 22:04:00;15;6.36;9.48;65
VGM-000109;PAT-0038;USR-00062;Glória;Anita Garibaldi;-26.322712018345083;-48.83223095512622;-26.30809615679145;-48.83804019815298;2024-10-06 13:09:00;2024-10-06 13:12:00;3;6.84;9.13;87
VGM-000110;PAT-0025;USR-00126;Anita Garibaldi;Saguaçu;-26.316230200901714;-48.83016478527285;-26.284231187986887;-48.84356233617788;2024-07-28 06:14:00;2024-07-28 06:51:00;37;5.36;6.87;96
VGM-000111;PAT-0028;USR-00162;Saguaçu;Paranaguamirim;-26.28710248547086;-48.85159288471951;-26.339360804332443;-48.81023510338852;2024-06-26 06:21:00;2024-06-26 06:24:00;3;3.91;6.66;70
VGM-000112;PAT-0015;USR-00029;Itaum;Bucarein;-26.333387787127457;-48.82297984331598;-26.29799721464792;-48.84323740670669;2024-12-02 18:54:00;2024-12-02 19:16:00;22;2.55;4.6;44
VGM-000113;PAT-0013;USR-00204;América;Bucarein;-26.286703023476576;-48.854157751607616;-26.302306059140957;-48.83776713978986;2024-02-23 12:33:00;2024-02-23 12:51:00;18;0.91;3.27;62
VGM-000114;PAT-0044;USR-00162;Paranaguamirim;Glória;-26.336918796204355;-48.811060102899916;-26.32410123148264;-48.829551753243265;2024-08-02 21:03:00;2024-08-02 21:15:00;12;1.62;4.43;94
VGM-000115;PAT-0071;USR-00131;Glória;Jardim Iririú;-26.318665962434896;-48.82845707447675;-26.26699087994341;-48.86230257534126;2024-12-30 14:05:00;2024-12-30 14:10:00;5;6.23;9.28;63
VGM-000116;PAT-0030;USR-00006;Glória;Jardim Iririú;-26.316285394098124;-48.83347895716778;-26.269590414285645;-48.857976012789194;2024-04-28 22:26:00;2024-04-28 22:52:00;26;8.02;9.83;100
VGM-000117;PAT-0045;USR-00250;Itaum;Glória;-26.326963279231006;-48.82059676581632;-26.315827319334222;-48.82841098193425;2024-08-22 08:37:00;2024-08-22 08:46:00;9;5.16;7.12;80
VGM-000118;PAT-0030;USR-00215;Anita Garibaldi;Bucarein;-26.31513429941114;-48.8338470197493;-26.298934094626404;-48.83710874680891;2024-09-15 10:40:00;2024-09-15 11:08:00;28;8.11;9.7;20
VGM-000119;PAT-0074;USR-00083;Itaum;Bucarein;-26.3260744100151;-48.82416535915011;-26.30156718541297;-48.84434952712591;2024-02-08 07:27:00;2024-02-08 08:12:00;45;8.06;10.89;91
VGM-000120;PAT-0065;USR-00043;Jardim Iririú;Anita Garibaldi;-26.267606577580842;-48.85617583631593;-26.30985281166498;-48.83327940497338;2024-03-07 13:18:00;2024-03-07 13:37:00;19;6.71;9.89;75
VGM-000121;PAT-0025;USR-00006;América;Itaum;-26.28792559844836;-48.84796396464559;-26.332066465785587;-48.824479762449705;2024-06-10 18:44:00;2024-06-10 19:07:00;23;3.5;6.6;30
VGM-000122;PAT-0049;USR-00032;Glória;Paranaguamirim;-26.316039087000764;-48.82994793226423;-26.33974529692644;-48.818863539613034;2024-06-11 20:17:00;2024-06-11 20:34:00;17;8.17;10.19;93
VGM-000123;PAT-0062;USR-00045;Itaum;Bucarein;-26.33181996525028;-48.81532873384741;-26.296021672144946;-48.84696081625049;2024-02-08 12:08:00;2024-02-08 12:48:00;40;6.09;7.95;98
VGM-000124;PAT-0030;USR-00152;Anita Garibaldi;América;-26.315899480754723;-48.83582239020725;-26.28699735888798;-48.8460053931894;2024-02-25 10:06:00;2024-02-25 10:19:00;13;2.35;4.4;47
VGM-000125;PAT-0072;USR-00255;Paranaguamirim;Saguaçu;-26.34272064837458;-48.81015889680963;-26.282078088051982;-48.844977263028525;2024-08-18 20:20:00;2024-08-18 20:49:00;29;8.39;11.17;28
VGM-000126;PAT-0054;USR-00276;Bucarein;Centro;-26.298728922113735;-48.84032080001196;-26.302636389321275;-48.843332769852665;2024-03-02 17:49:00;2024-03-02 18:05:00;16;5.11;8.15;53
VGM-000127;PAT-0037;USR-00124;América;América;-26.287819852340775;-48.84965328726746;-26.28920366817605;-48.85090273924712;2024-08-19 15:29:00;2024-08-19 15:48:00;19;0.79;3.19;66
VGM-000128;PAT-0032;USR-00162;Glória;Bucarein;-26.316392694167437;-48.83334045104704;-26.29354075355968;-48.84399932917094;2024-03-02 08:10:00;2024-03-02 08:32:00;22;0.76;3.4;90
VGM-000129;PAT-0078;USR-00229;Bucarein;Centro;-26.302930478694687;-48.83818072241695;-26.306441759025034;-48.849687357155375;2024-12-26 07:13:00;2024-12-26 07:36:00;23;3.11;5.46;58
